Nodes,Betweenness,PR,In-Degree,Out-Degree,In-Strength,Out-Strength,In-Harmonic,Out-Harmonic
1,0.3779569892473118,0.14040121061909264,0.3548387096774194,0.5806451612903225,0.7377582019617772,0.43691290730603516,12.976708192966536,2.0
4,0.0,0.013381412263667652,0.03225806451612903,0.0,0.01346892142587561,0.0,0.0,79.85601672642612
89,0.0,0.026479580424005503,0.0967741935483871,0.0,0.021266718040856225,0.0,21.3850591437548,0.0
83,0.01935483870967742,0.07347913176635698,0.06451612903225806,0.03225806451612903,0.021266718040856225,0.012287437090272486,63.219857585818886,29.94785097439249
3,0.11612903225806452,0.07503667100666377,0.0967741935483871,0.12903225806451613,0.152057033992122,0.06758090399649867,0.0,38.830234763834426
5,0.0,0.02441038810223764,0.06451612903225806,0.0,0.02457487418054497,0.0,31.68377558767874,24.781478961850823
88,0.0,0.06235284586713692,0.03225806451612903,0.03225806451612903,0.012287437090272486,0.006143718545136243,10.093584325865358,20.22818852687274
85,0.041935483870967745,0.09291035277041167,0.06451612903225806,0.06451612903225806,0.11673065235758862,0.018431155635408727,10.476708192966536,16.191351702590786
86,0.0,0.07216166784211518,0.03225806451612903,0.03225806451612903,0.012287437090272486,0.012287437090272486,10.976708192966536,0.0
2,0.0,0.014736846540786164,0.03225806451612903,0.03225806451612903,0.018431155635408727,0.006143718545136243,20.6350591437548,15.941351702590785
7,0.0,0.009702376368631686,0.0,0.03225806451612903,0.0,0.006143718545136243,16.98893970893971,0.0
6,0.0,0.016798617420295398,0.06451612903225806,0.03225806451612903,0.05734137308793826,0.061437185451362425,0.0,16.691351702590786
8,0.0,0.011380533092683179,0.03225806451612903,0.03225806451612903,0.006143718545136243,0.006143718545136243,22.3850591437548,0.0
55,0.0,0.014736846540786164,0.03225806451612903,0.0,0.018431155635408727,0.0,19.07736683606249,57.85462385541612
47,0.0,0.011380533092683179,0.03225806451612903,0.0,0.006143718545136243,0.0,21.3850591437548,0.0
76,0.0,0.021449473436992137,0.03225806451612903,0.06451612903225806,0.043006029815953695,0.018431155635408727,10.976708192966536,0.0
9,0.0,0.03554734096852031,0.06451612903225806,0.0,0.07065276326906679,0.0,19.989799505017125,0.0
34,0.0,0.011380533092683179,0.03225806451612903,0.0,0.006143718545136243,0.0,17.988939708939718,0.0
11,0.0,0.009702376368631686,0.0,0.03225806451612903,0.0,0.11673065235758862,10.976708192966536,1.0
32,0.0,0.009702376368631686,0.0,0.03225806451612903,0.0,0.029182663089397154,29.323572536310678,25.277701710054654
84,0.0,0.009702376368631686,0.0,0.03225806451612903,0.0,0.05836532617879431,53.20147237662554,14.18216558953121
13,0.0,0.021591206784162244,0.03225806451612903,0.0,0.029182663089397154,0.0,17.171932124740078,8.827552105143447
31,0.15376344086021507,0.05594638016065934,0.0967741935483871,0.06451612903225806,0.11826658199387267,0.11673065235758862,28.165325113630264,32.074591571079864
12,0.1064516129032258,0.06704912062467255,0.16129032258064516,0.16129032258064516,0.29950627907539185,0.23346130471517723,0.0,12.749596385504706
108,0.0,0.009702376368631686,0.0,0.06451612903225806,0.0,0.15564086981011815,10.843584325865358,0.0
100,0.0,0.009702376368631686,0.0,0.03225806451612903,0.0,0.03891021745252954,0.0,17.830745415645893
18,0.0,0.01682645850043277,0.03225806451612903,0.03225806451612903,0.029182663089397154,0.11673065235758862,50.69010429299054,90.91883439943142
17,0.0,0.009702376368631686,0.0,0.03225806451612903,0.0,0.11673065235758862,18.988939708939714,2.0
25,0.0,0.01682645850043277,0.03225806451612903,0.0,0.029182663089397154,0.0,10.634342842710831,0.0
82,0.0,0.011380533092683179,0.03225806451612903,0.03225806451612903,0.006143718545136243,0.11673065235758862,0.0,26.33703451740638
19,0.0,0.011380533092683179,0.03225806451612903,0.03225806451612903,0.006143718545136243,0.11673065235758862,0.0,1.0
15,0.0,0.013058689816734673,0.03225806451612903,0.0,0.012287437090272486,0.0,10.476708192966536,16.191351702590786
